,В каком разделе НКРЯ в теории может быть полезен?,Название,"Объём (входы, слова, страницы)",Авторы,Редакторы,Издательство,Unnamed: 22
75,исторические,Этимологический словарь русского языка Макса Фасмера,"Том 1: А — Д (около 4000 слов).
Том 2: Е — Муж (более 4500 слов).
Том 3: Муза — Сят (около 5500 слов).
Том 4: Т — Ящур (около 4500 слов).",М. Фасмер,М. А. Оборина,Прогресс,"https://etymolog.ruslang.ru/index.php?abc=%E8&act=contents&book=vasmer Уу меня не работает, https://lexicography.online/etymology/vasmer/ работает"
76,исторические,Словарь обиходного русского языка Московской Руси XVI-XVII вв.,"Выпуск 1:  333 с.,  Выпуск 2:  340 с., Выпуск 3:  323 с.,  Выпуск 4:  312 с.,  Выпуск 5:  342 с.,  Выпуск 6:  360 с.,  Выпуск 7:  303 с.,  Выпуск 8:  327 с.,  Выпуск 9:  367 с.","Выпуск 1: С.Н. Варина (С.-Петерб. гос. ун-т), О.В. Васильева (С.-Петерб. гос ун-т), С.Св. Волков (Ин-т лингв. иссл. РАН), Е.В. Генералова (С.-Петерб. гос. ун-т), Е.И. Зиновьева (С.-Петерб. гос. ун-т), Л.М.Карамышева (С.-Петерб. гос. ун-т), Я.Ю. Коваленко (С.-Петерб. гос. ун-т), Е.В. Колосько (Ин-т лингв. иссл. РАН), О.С. Мжельская (С.-Петерб гос. ун-т), М.Н. Приемышева (Ин-т лингв. иссл. РАН), Р.X. Тугушева (С.-Петерб. гос. ун-т), А.С. Щекин (С.-Петерб. гос. ун-т)

Выпуск 2: С.Н. Варина (С.-Петерб. гос. ун-т), О.В. Васильева (С.-Петерб. гос. ун-т), Е.В. Генералова (С.-Петерб. гос. ун-т), Е.И. Зиновьева (С.-Петерб. гос. ун-т), Л.М. Карамышева (С.-Петерб. гос. ун-т), А.Ю. Коваленко (С.-Петерб. гос. ун-т), Я.Ю. Коваленко (С.-Петерб. гос. ун-т), А.В. Конева (С.-Петерб. гос. ун-т), О.С. Мжельская (С.-Петерб. гос. ун-т), М.Н. Приемышева (Ин-т лингв. иссл. РАН), А.С. Щекин (С.-Петерб. гос. ун-т)

Выпуск 3: С.Н. Варина (С.-Петерб. гос. ун-т), О.В. Васильева (С.-Петерб. гос. ун-т),  С.Св. Волков  (Ин-т лингв. иссл. РАН),  Е.В. Генералова (С.-Петерб. гос. ун-т), Е.И. Зиновьева (С.-Петерб. гос. ун-т), Л.М.Карамышева (С.-Петерб. гос. ун-т), Я.Ю. Коваленко (С.-Петерб. гос. ун-т), А.В. Конева (С.-Петерб. гос. ун-т), О.С. Мжельская (С.-Петерб. гос. ун-т), Г.Ю. Смирнова (Сев.-Зап. академия государственной службы),  А.С. Щекин (С.-Петерб.гос.ун-т)

Выпуск 4: С.Н. Варина (С.-Петерб. гос. ун-т), О.В. Васильева (С.-Петерб. гос. ун-т),  С.Св. Волков  (Ин-т лингв. иссл. РАН),  Е.В. Генералова (С.-Петерб. гос. ун-т), Е.И. Зиновьева (С.-Петерб. гос. ун-т), Л.М.Карамышева (С.-Петерб. гос. ун-т), Я.Ю. Коваленко (С.-Петерб. гос. ун-т), А.В. Конева (С.-Петерб. гос. ун-т), О.С. Мжельская (С.-Петерб. гос. ун-т), Г.Ю. Смирнова (Сев.-Зап. академия государственной службы),  А.С. Щекин (С.-Петерб.гос.ун-т)

Выпуск 5: С.Н. Варина , О.В. Васильева ,  Е.В. Генералова ,  
Е.И.Зиновьева , Л.М. Карамышева , Я.Ю. Коваленко О.С. Мжельская , А.В.Романова, Е.А.Сабанцева, Г.Ю. Смирнова , М.С. Шишков  , А.С.Щекин 

Выпуск 6: И.Ю. Васильев, О.В. Васильева , Е.В. Генералова , Е.И.Зиновьева, Л.М. Карамышева , Я.Ю. Коваленко , Ю.А. Кузнецов , Я.М.Михайлова, Г.Ю. Смирнова , М.С. Шишков , А.С. Щекин

Выпуск 7:  О. В. Васильева , Е. В. Генералова , Е. И.Зиновьева , Л. М. Карамышева , Я. Ю. Коваленко , М. С. Шишков , А.С. Щекин

Выпуск 8:  Е. В. Генералова , О. В. Васильева , Е. И. Зиновьева , Я. Ю. Коваленко , А. С. Щекин , Н. П. Беневоленская, М. С. Шишков

Выпуск 9:  Е. Б. Генералова, О. В. Васильева, Е. И. Зиновьева, Я. Ю. Коваленко, А. С. Щекин","Выпуск 1-5: О.С.Мжельская  
Выпуск 6-9: Е. В. Генералова , О. В. Васильева",Наука,http://msk-slovar16-17v.slovo-spb.ru/c3_0021.htm
77,исторические,"Словарь-справочник ""Слова о полку Игореве""","Вып. 1. А—Г: 199 с., Вып. 2. Д—Копье: 214 с., Вып. 3. Корабль—Нынешний: 182 с., Вып. 4. О—П: 234 с., Вып. 5. Р—С: 264 с., Вып. 6. Т — Я: 278 с.",В. Л. Виноградова,"Б. Л. Богородский, Д. С. Лихачев, О. В. Творогов",Наука,https://feb-web.ru/feb/slovoss/ss-abc/
78,исторические,Словарь древнерусского языка (XI~XIV вв.),"Т. 1: 526 с.
Т. 2: 494 с.
Т. 3: 511 с.
Т. 4: 559 с.
Т. 5: 647 с.
Т. 6: 608 с.
Т. 7: 505 с.
Т. 8: 762 с.
Т. 9: 480 с.
Т. 10: 656 с.
Т. 11: 744 с.
Т. 12: 688 с.
Т. 13: 728 с.","Т. 1: (а — възаконѧтисѧ):И. В. АНДРИАНОВА, Г. И. БЕЛОЗЕРЦЕВ, В. Л. ВИНОГРАДОВА, В. Н. ВИНОГРАДОВА, Л. В. ВЯЛКИНА, Н. П. ЗВЕРКОВСКАЯ,
Г. Н. ЛУКИНА, Н. Г. МИХАЙЛОВСКАЯ, Н. В. ПОДОЛЬСКАЯ,
Т. А. СУМНИКОВА, А. И. ТОЛКАЧЕВ, В. С. ФИЛИППОВ,
Н. В. ЧУРМАЕВА, Л. Н. ЭЗЕРИНЯ

Т. 2: (възалкати — добродѣтельникъ): И. В. АНДРИАНОВА, В. Г. БАРАНОВСКАЯ, Г. И. БЕЛОЗЕРЦЕВ, Л. В. ВЯЛКИНА, Η. П. ЗВЕРКОВСКАЯ, Г. Н. ЛУКИНА, Н. Г. МИХАЙЛОВСКАЯ, Н. В. ПОДОЛЬСКАЯ, Τ. А. СУМНИКОВА, А. И. ТОЛКАЧЕВ, В. С. ФИЛИППОВ, Η. В. ЧУРМАЕВА, Л. Н. ЭЗЕРИНЯ.

Т. 3: (добродѣтельно — изжечислѧ): И. В. АНДРИАНОВА, В. Г. БАРАНОВСКАЯ, Г. И. БЕЛОЗЕРЦЕВ, Л. В. ВЯЛКИНА, Η. П. ЗВЕРКОВСКАЯ, Г. Н. ЛУКИНА, Н. Г. МИХАЙЛОВСКАЯ, 3. М. ПЛИСКЕВИЧ, Н. В. ПОДОЛЬСКАЯ, В. Б. СИЛИНА, Τ. А. СУМНИКОВА, А. И. ТОЛКАЧЕВ, В. С. ФИЛИППОВ, Η. В. ЧУРМАЕВА, Л. Н. ЭЗЕРИНЯ.

Т. 4: (изживати — молениѥ):И. В. АНДРИАНОВА, В. Г. БАРАНОВСКАЯ, Л. В. ВЯЛКИНА,Η. П. ЗВЕРКОВСКАЯ, Г. Н. ЛУКИНА, Н. Г. МИХАЙЛОВСКАЯ,
3. М. ПЛИСКЕВИЧ, Η. В. ПОДОЛЬСКАЯ, В. Б. СИЛИНА,
Т. А. СУМНИКОВА, А. И. ТОЛКАЧЕВ, Η. В. ЧУРМАЕВА,
Л. Н. ЭЗЕРИНЯ.

Т. 5: (молимъ-обѧтьнъ):И.В.АНДРИАНОВА, В.Г.БАРАНОВСКАЯ, Л.В.ВЯЛКИНА, Н.П. ЗВЕРКОВСКАЯ, Г.Н.ЛУКИНА, Н. Г. МИХАЙЛОВСКАЯ, В.Б.СИЛИНА, Т.А.СУМНИКОВА, А. И. ТОЛКАЧЕВ, Н.В. ЧУРМАЕВА

Т. 6: (овадъ — покласти):И.В.АНДРИАНОВА, В.Л.ВИНОГРАДОВА, Л.В.ВЯЛКИНА, Н.П. ЗВЕРКОВСКАЯ, В.Б.КРЫСЬКО, Н. Г. МИХАЙЛОВСКАЯ, З.М .ПЛИСКЕВИЧ, В.Б.СИЛИНА, Т.А.СУМНИКОВА, А. И. ТОЛКАЧЕВ, Н.В. ЧУРМАЕВА, Л.Н.ЭЗЕРИНЯ

Т. 7: (поклепанъ - пращоуръ): д-р филол. наук В. Л. ВИНОГРАДОВА, д-р филол. наук Г. Н. ЛУКИНА, канд. филол. наук Т. А. СУМНИКОВА, канд. филол. наук Л. Н. ЭЗЕРИНЯ

Т. 8: (пре-пробѣжение): не указаны

Т. 9: (провадити - ражьзизаѥмъ): не указаны

Т. 10: (разарѧѥмъ - СВЬТѢТИСѦ): канд. филол . наук И. В. АНДРИАНОВА , д- р филол . наук С. И. ИОРДАНИДИ , канд. филол .
наук И . А . КОРНИЛАЕВА , д- р филол . нау к В . Б. КРЫСЬКО , канд . филол . нау к
И . М . ЛАДЫЖЕНСКИЙ , канд . филол . нау к Т. И . МЕЖИКОВСКАЯ , канд . филол . нау к
Л. В. ПРОКОПЕНКО , д- р филол . нау к В . Б. СИЛИНА , канд . филол . нау к О. П. ШЕВЧУК ,
канд . филол . наук Л. И. ЩЁГОЛЕВА , канд. филол . наук И. Е. ЮСОВ

Т. 11: (свѣн е -стѧгъ): канд. филол. наук И. В. АНДРИАНОВА, д-р филол. наук С. И. ИОРДАНИДИ, Н. В. КАМЕНЕВА,
д-р филол. наук В. Б. КРЫСЬКО, А. В. КУЗНЕЦОВА, канд. филол. наук И. М. ЛАДЫЖЕНСКИЙ,
канд. ист. наук В. С. ЛЕНСКАЯ, канд. филол. наук Т. И. МЕЖИКОВСКАЯ, канд. филол. наук
Л. В. ПРОКОПЕНКО, канд. филол. наук М. А. ПУЗИНА, канд. филол. наук И. Е. ЮСОВ 

Т. 12: (coy - съотъходьнъ): Е.В. АМАНОВА, К.Ю. ДОЙКИНА, канд. филол. наук Н. А. ЗАНЕГИНА,
д-р филол. наук СИ . ИОРДАНИДИ, д-р филол. наук В.Б. КРЫСЬКО, А.В. КУЗНЕЦОВА, канд. филол. наук И.М. ЛАДЫЖЕНСКИЙ, канд. ист. наук B.C. ЛЕНСКАЯ, канд. филол. наук Т.И. МЕЖИКОВСКАЯ, канд. филол. наук Л. В. ПРОКОПЕНКО, канд. филол. наук М. А. ЛУЗИНА

Т. 13: (съпаданиѥ–трѧсьца): А. С. АЛЕКСЕЕВА, Е. В. АМАНОВА, канд. филол. наук К. Ю. ДОЙКИНА, Д. М. ЗЕЛЕНСКИЙ, д-р филол. наук В. Б. КРЫСЬКО, канд. филол. наук Т. И. МЕЖИКОВСКАЯ, д-р филол. наук Г. А. МОЛЬКОВ, канд. филол. наук Л. В. ПРОКОПЕНКО, канд. филол. наук М. А. ПУЗИНА, канд. филол. наук А. С. УЛИТОВА, Е. А. ЧЕРНЫХ","Главный редактор 1-4 том: Р. И. Аванесов,
Главный редактор 5 том: Р. И. Аванесов, И. С. Улуханов
Главный редактор 6 том: И. С. Улуханов
Главный редактор 7-13 том: В. Б. Крысько","1-4 том: Русский язык
6,8,12 том: Азбуковник
8,10,11,13 том: Нестор-История","https://azbyka.ru/otechnik/Spravochniki/slovar-drevnerusskogo-jazyka-11-14-vv/, https://rus-old-russian-dict.slovaronline.com/"
79,поэтический,Словарь языка Пушкина,больше 21000 слов,В. В. Виноградов,В. А. Плотникова,Азбуковник,
80,поэтический,Поэтический словарь,"376 страниц, 670 терминов из области стихосложения и поэтики стихотворных текстов",А. П. Квятковский,И. Роднянская,Советская энциклопедия,https://wysotsky.com/0009/150.htm
81,поэтический,Словарь языка русской поэзии ХХ века,"Т. 1: 896 стр., Т. 2: 796 стр., 4500 статей, Т. 3: 771 стр., Т. 4: 751 стр., Т. 5: 1000 стр., 7000 статей, Т. 6: 947 стр., 7000 статей, Т. 7: 1044 стр., 5000 статей, Т. 8: 977 стр., 3500 статей, Т. 9, кн.1: 501 стр., 1350 статей, Т.9, кн. 2: 518 стр., 2290 статей.","Т. 1-3: В. П. Григорьев, Л.Л. Шестакова, Л.И. Колодяжная, В.В. Бакеркина,
А.В. Гик, Т.Е. Реутт, Н.А. Фатеева; Т. 4: Л. Л. Шестакова, В. П. Григорьев, Л. И. Колодяжная, А. В. Гик, А. С. Кулева, Т. Е. Реутт, Н. А. Фатеева; Т. 5-6: Л. Л. Шестакова, В. П. Григорьев, Л. И. Колодяжная, А. В. Гик, А. С. Кулева, Н. А. Фатеева; Т. 7-8: Л. Л. Шестакова, А. В. Гик, А. С. Кулева; Т. 9: Л.Л. Шестакова, А. В. Гик, А. С. Кулева",Т. 1-3: В. П. Григорьев; Т. 2-9: Л.Л. Шестакова,Языки славянских культур,
82,поэтический,"Словарь поэтического языка
Д. В. Давыдова",,"Н. Л. Васильев, Д. Н. Жаткин",-,"ФЛИНТА, Наука",http://lib.pushkinskijdom.ru/LinkClick.aspx?fileticket=6NJcU8iKihA%3D&tabid=10589&ysclid=lteqja32db957074604
83,поэтический,Словарь рифм русского языка,"864 стр., более 130000 рифмованных слов","Е. Ситникова, П. Лебедев, Л. Студенкина, Г. Шалаева",-,Филологическое общество СЛОВО ,https://fictionbook.ru/author/g_p_shalaeva/slovar_rifm_russkogo_yazyika/
84,поэтический,Словарь рифм,"639 стр., более 100000 слов и рифм","П. Лебедев, Л. Студеникина, Е. Коровкина",-,АСТ,
85,поэтический,Частотный словарь языка М. Ю. Лермонтова,"тысяча слов, 57 стр.","Авдеева А. А., Бородин В. В., Быкова Н. Я., Козокина С. М., Гордеева Н. А., Макарова Л. А., Шайкевич А. Я.","В. В. Бородин, А. Я. Шайкевич",Советская энциклопедия,http://feb-web.ru/feb/lermenc/lre-lfd/lre/lre-7172.htm
86,поэтический,Религиозная лексика в стихах русских поэтов Серебряного века,,,,,
87,поэтический,Школьный поэтический словарь,458 стр.,А. П. Квятковский,,Дрофа,
88,поэтический,Поэтический словарь Ф. И. Тютчева,"962 стр., свыше 6000 слов и фразеологических сочетаний",А. Л. Голованевский,-,Издательство Брянского государственного университета им. акад. И. Г. Петровского,
