,В каком разделе НКРЯ в теории может быть полезен?,Название,"Объём (входы, слова, страницы)",Авторы,Редакторы,Издательство,Unnamed: 22
25,параллельные,Большой русско-польский словарь,"около 70000 слов, Т. 1: 863 с., Т. 2: 793 с.","А. Мирович, И.Дулевич, И. Грек-Пабис, И. Марыняк","Р. Стыпула, Г. Ковалева, Т. Кондратюк, Г. Павлова","Бедза Повшехна, Русский язык",https://vk.com/wall-44538599_15195
26,параллельные,Новый большой русско-финский словарь,844 стр.,"М. Э. Куусинен, В. М. Оллыкайнен, Ю. Э. Сюрьялайнен,",М. Э. Куусинен,Рус.яз.,
27,параллельные,Русско-башкирский словарь: В 2 т. ,"более 60 тыс. слов, 1 том - 808 с., 2 том - 680 с.","И.М. Агишев, А.Ф. Гиндуллина, Г.Д. Зайнуллина, З.К. Ишмухаметов, C.Ф. Миржанова, Ш.В. Нафиков, З.А. Сиразетдинов, Н.Ф. Суфьянова, З.Г. Уразбаева, З.Г. Ураксин, Р.Н. Хадыева","З. Г. Ураксин, Г.Т. Абзалилова, З.Ф. Карагужина, Х.Х. Мингажитдинова, Р.Г. Мустафина, А.В. Силиванец, И.С. Сырлыбаева, Г.Ш. Шарипова",Башкирская энциклопедия,
28,параллельные,Армянско-русский словарь,около 75000 слов,Е. Г. Галстян,"Э. С. Вардумян, Р. В. Мадоян, Н. А. Сардарян,  Э. А. Саркисян, И. Д. Стрельцова, Н. А. Тер-Григорян",Издательство Академии Наук Армянской ССР,"у меня есть пдф, но, кажется, это было пиратство🏴‍☠️"
29,параллельные,Русско-армянский учебный словарь,14300 слов,А. А. Секоян,Л. Б. Петросян,Издательство «Луйс»,"пдф есть вот тут, тоже непонятно, насколько это легально"
30,параллельные,Русско-Армянский словарь,Словарь включает в себя 85 000 словарных статей и около 100 000 слов и фраз. 1433 страниц,А. С. Гарибян,И. К. Кусикьян и Г. К. Гаспарян,Айастан,
31,параллельные,Большой русско-немецкий словарь,"736 страниц, 53000 сл. и 160000 словосочетаний",К. Лейн,К. Лейн,Просвещение/Дрофа,
32,параллельные,Англо-русский словарь,"70000 слов,  975 страниц","Мюллер, В.К.",Байкова В.Д.,Золотой век,
33,параллельные,Русско-сербский словарь,"55.000 слов, 1001 страница","Д. Вигневич, С. Даничич, М. Дугонич-Радич, В. Йовин, В. Косанович, Р. Крунин, М. Пупавац, Д. Райкович, Я. Савич, Б. Станкович, Бр. Станкович, Л. Тинтор, Дж. Язич",Боголюб Станкович,"Матица Српска, Русский язык",https://disk.yandex.ru/i/YIgRLdqyk45es
34,параллельные,Полный русско-французскій словарь,"около 70 000 слов русского языка, 1232 страниц, (до 1500 заголовочных русских и более 3000 переводных французских слов) и фразеологии (до 5000 примеров с 1000 пословицами)",Макаров Н. П.,"Попова Л. П., Козлова Е. И.","Lingua, АСТ",
35,параллельные,Русско-башкирский словарь,392 страниц / около 80000 статей,"Ураксин З.Г., Ураксин Ю.З.","Ураксин З.Г., Ураксин Ю.З.",Уфа: Китап,
36,параллельные,"Русско-башкирский, башкирско-русский словарь: для изучающих башкирский язык как государственный. ",192 стр," Ф.Г. Хисамитдинова, Р.Т. Муратова"," Ф.Г. Хисамитдинова, Р.Т. Муратова",Учебно-методический центр «Эдвис»,
37,параллельные,Русско-белорусский словарь,878 стр.,А. А. Лукашенец,А. А. Лукашенец,Белорусская энцмклопедия,
38,параллельные,Учебный чешско-русский и русско-чешский сло- варь: около 40 000 слов и выражений,"832 стр., 40000 слов",А. И. Изотов,А. И. Изотов,Филоматис,
39,параллельные,"Русско-украинский, украинско-русский словарь","560 стр., 30000 слов","Д. И Ганич, И. С. Олейник","Д. И Ганич, И. С. Олейник",А.С.К.,
40,акцентологический,Словарь ударений для работников радио и телевидения,"804 стр., ок. 75000 слов","Агеенко Ф. Л., Зарва М. В.",Розенталь Д. Э. ,Русский язык,
41,акцентологический,Большой орфоэпический словарь русского языка литературное произношение и ударение начала XXI века: норма и её варианты,1000 стр.,"М. Л. Каленчук, Л. Л. Касаткин, Р. Ф. Касаткина",Л. Л. Касаткин,АСТ-ПРЕСС,
42,акцентологический,"Орфоэпический словарь русского языка: Произношение, ударение, грамматические формы : Около 65 000 слов","702 стр., 65000 слов","С. Н. Борунова, В. Л. Воронцова, Н. А. Еськова","Р. И. Аванесов, Н. А. Еськова",Русский язык,
43,акцентологический,Орфоэпический словарь русского языка: Произношение. Ударение,"1182 стр, 25000 ед.",И. Л. Резниченко,И. Л. Резниченко,Астрель,
44,акцентологический,Русское литературное произношение и ударение: словарь-справочник,708 стр.,Р. И. Аванесов,"Р. И. Аванесов, С. И. Ожегов",Гос. изд-во иностранных и национальных словарей,
45,акцентологический,Словарь ударений для дикторов радио и телевидения.,352 стр.,Л. А. Введенская,Л. А. Введенская,МарТ,
